Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
Salah,1.0,1.0,1.0,0,0.0,-0.0,-0.0,0.0
Saka,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Cash,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Neto,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Mbeumo,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
N.Jackson,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
A.Doucoure,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Haaland,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
B.Fernandes,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Trippier,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Disasi,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Archer,4.550167339099544e-7,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Semenyo,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Pinnock,4.5471336128817177e-7,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Bell,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Burke,0.9999995450366385,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Areola,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
