Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
B.Fernandes,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0
Saka,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Watkins,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Mbeumo,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
N.Jackson,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Guéhi,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
A.Becker,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Salah,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Trippier,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Son,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Disasi,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Pinnock,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Adebayo,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bell,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Areola,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
