Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
Watkins,1.0,1.0,1.0,0,1.0,0.0,1.0,-0.0
Saka,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Turner,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Salah,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
J.Alvarez,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Burn,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Trippier,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Osula,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Son,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Disasi,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Ward-Prowse,1.0,1.0,0.0,0,1.0,0.0,1.0,-0.0
Cash,1.0,0.0,0.0,0,1.0,0.0,1.0,-0.0
Mbeumo,1.0,0.0,0.0,0,1.0,0.0,1.0,-0.0
Gusto,1.0,0.0,0.0,0,1.0,0.0,1.0,-0.0
José Sá,1.0,0.0,0.0,0,1.0,0.0,1.0,-0.0
