Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
Salah,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0
Saka,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Watkins,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Mbeumo,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Pinnock,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
N.Jackson,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Alexander-Arnold,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
B.Fernandes,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Pope,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Trippier,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Bowen,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Gusto,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bell,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Woodrow,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Areola,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
