ID,1_with_prob,2_with_prob,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
1,0.14529,0.14529,0.14529,0.14529,0.14529,0.13493,0.14176,0.13076,0.13107,0.13645,0.12873,0.14236,0.13066,0.14499,0.1311,0.14162,0.14643,0.13085,0.14631,0.15393,0.13944,0.14378,0.14633,0.13785,0.14478,0.14344,0.1467,0.13489,0.1351,0.12707,0.14311,0.13327,0.14124,0.13606,0.13235,0.14471,0.12748,0.1475
2,0.12886,0.12886,0.12886,0.12886,0.12886,0.12221,0.14426,0.09824,0.10815,0.15408,0.10458,0.16393,0.1269,0.15239,0.11701,0.11674,0.12036,0.0869,0.1527,0.15063,0.14435,0.1435,0.11312,0.11663,0.16168,0.13959,0.12159,0.14228,0.1208,0.08896,0.15626,0.11472,0.13639,0.14316,0.11357,0.16012,0.11302,0.15818
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.13975,1.13975,1.13975,1.13975,1.13975,1.19001,1.22577,1.12802,1.17615,1.20195,1.16639,1.24667,1.21894,1.2482,1.19399,1.1726,1.21598,1.13833,1.25145,1.25507,1.21737,1.29865,1.21275,1.19576,1.21001,1.25406,1.24164,1.27049,1.21222,1.11304,1.22407,1.20808,1.21981,1.23713,1.2007,1.32837,1.19792,1.29122
5,2.80502,2.80502,2.80502,2.80502,2.80502,2.77383,3.35061,2.30998,2.56236,3.62419,2.47978,3.85176,2.99579,3.58514,2.76712,2.76089,2.84462,2.07095,3.59231,3.54437,3.39922,3.37965,2.67728,2.75828,3.79989,3.28923,2.87305,3.35143,2.85465,2.11859,3.67448,2.71425,3.21523,3.37163,2.68764,3.76379,2.67495,3.71893
6,3.41168,3.41168,3.41168,3.41168,3.41168,3.60282,3.71534,3.30976,3.44493,3.54011,3.40892,3.70508,3.60278,3.7107,3.51073,3.43182,3.59185,3.30541,3.7227,3.73604,3.597,3.8968,3.57995,3.51728,3.56982,3.73234,3.68652,3.79292,3.57797,3.21214,3.62168,3.56271,3.60598,3.66988,3.53549,4.00644,3.52524,3.86939
7,0.25405,0.25405,0.25405,0.25405,0.25405,0.31261,0.24678,0.3468,0.23025,0.26476,0.34202,0.33517,0.25458,0.25383,0.33896,0.24697,0.19967,0.26114,0.23724,0.30405,0.23537,0.32714,0.2501,0.26199,0.27777,0.34641,0.24785,0.3314,0.29878,0.30644,0.30791,0.21784,0.19564,0.32445,0.32039,0.27762,0.30576,0.29252
8,3.59928,3.59928,3.59928,3.59928,3.59928,3.33834,3.59375,3.28016,3.30528,3.48227,3.22196,3.68114,3.31826,3.78892,3.26854,3.65637,3.81838,3.28629,3.77747,4.07106,3.58298,3.72907,3.81491,3.52932,3.67461,3.81511,3.8288,3.42957,3.43665,3.17072,3.70657,3.44066,3.71802,3.46903,3.34402,3.79533,3.18012,3.83714
9,1.9436,1.9436,1.9436,1.9436,1.9436,2.09483,2.21908,2.06698,2.16706,2.21508,2.1489,2.2983,2.24669,2.30114,2.20025,2.16045,2.24118,2.09668,2.30719,2.31392,2.24378,2.39502,2.23518,2.20356,2.23006,2.31205,2.28894,2.34261,2.23418,2.04962,2.25623,2.22648,2.24831,2.28054,2.21275,2.45033,2.20758,2.38119
10,1.59185,1.59185,1.59185,1.59185,1.59185,1.5251,1.79698,1.23943,1.35645,1.8986,1.31428,2.0148,1.57775,1.87867,1.46099,1.45781,1.50057,1.10553,1.88233,1.85785,1.78374,1.77374,1.41512,1.45648,1.98831,1.72758,1.51508,1.75934,1.50568,1.12986,1.92428,1.434,1.68979,1.76965,1.42041,1.96988,1.41393,1.94698
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4.24355,4.24355,4.24355,4.24355,4.24355,4.46752,4.58571,4.03667,4.23277,4.35737,4.18563,4.57333,4.43941,4.5807,4.3189,4.2156,4.42511,4.05011,4.59641,4.61387,4.43184,4.82433,4.40953,4.32748,4.39626,4.60902,4.54905,4.68833,4.40694,3.92801,4.46416,4.38696,4.4436,4.52726,4.35132,4.96786,4.33791,4.78845
13,2.78435,2.78435,2.78435,2.78435,2.78435,2.58637,2.72441,2.49842,2.52032,2.63983,2.46407,2.77411,2.52909,2.84688,2.49552,2.75738,2.86677,2.5075,2.83915,3.03738,2.70783,2.80647,2.86443,2.6716,2.7697,2.86457,2.87381,2.60424,2.60902,2.42947,2.79128,2.61174,2.79901,2.63089,2.54648,2.85121,2.43582,2.87944
14,4.91312,4.91312,4.91312,4.91312,4.91312,5.13025,5.22446,4.63482,4.85758,5.0015,4.80313,5.25098,5.09628,5.25948,4.95708,4.83774,5.07975,4.64658,5.27763,5.2978,5.08754,5.5409,5.06176,4.96699,5.04644,5.2922,5.22292,5.38381,5.05877,4.50554,5.12486,5.03569,5.10112,5.19775,4.99452,5.70671,4.97903,5.49946
15,1.18748,1.18748,1.18748,1.18748,0.18748,0.75682,1.594,1.92613,2.22454,2.39714,2.32054,2.49346,2.43373,2.49674,2.37998,2.33391,2.42735,2.2601,2.50375,2.51154,2.43035,2.6054,2.4204,2.38381,2.41448,2.50937,2.48262,2.54474,2.41925,2.20564,2.44476,2.41034,2.4356,2.47291,2.39444,2.66942,2.38846,2.5894
16,0.01926,0.01926,0.01926,0.01926,0.01926,0.01974,0.02,0.01821,0.01875,0.01915,0.0186,0.01983,0.01941,0.01986,0.01902,0.01869,0.01936,0.01817,0.01991,0.01996,0.01938,0.02063,0.01931,0.01905,0.01927,0.01995,0.01976,0.0202,0.0193,0.01778,0.01949,0.01924,0.01942,0.01969,0.01913,0.02109,0.01908,0.02052
17,3.70381,3.70381,3.70381,3.70381,3.70381,3.35726,3.35807,3.26933,3.25715,3.35368,3.28806,3.33413,3.38478,3.27713,3.5691,3.25263,3.36458,3.31393,3.59837,3.5591,3.60318,3.61913,3.13717,3.0894,3.53704,3.29056,3.47579,3.25439,3.55896,2.88648,3.35775,3.51094,3.37004,3.61502,3.3502,3.49574,3.32302,3.51055
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5.60437,5.60437,5.60437,5.60437,5.60437,5.64477,5.61182,4.75801,4.93436,5.08818,4.87618,5.35478,5.18946,5.36387,5.0407,4.91317,5.1718,4.70888,5.38326,5.40482,5.18012,5.66462,5.15257,5.05129,5.13619,5.39883,5.3248,5.49674,5.14937,4.55816,5.22,5.12471,5.19463,5.2979,5.08071,5.84181,5.06416,5.62033
20,2.66788,2.66788,2.66788,2.66788,2.66788,2.61374,3.09855,2.21371,2.42853,3.33669,2.3579,3.53132,2.79923,3.30329,2.60365,2.59832,2.66994,2.00823,3.30942,3.26842,3.14427,3.12754,2.52681,2.59609,3.48696,3.0502,2.69425,3.1034,2.67851,2.04898,3.3797,2.55843,2.98691,3.12068,2.53567,3.45609,2.52482,3.41772
21,0.14448,0.14448,0.14448,0.14448,0.14448,0.14368,0.28262,0.14279,0.14955,0.13487,0.13955,0.13782,0.14009,0.14027,0.14039,0.1312,0.14477,0.14436,0.14291,0.13949,0.13923,0.13993,0.13415,0.13829,0.14654,0.13088,0.14037,0.13823,0.15083,0.13815,0.13273,0.15301,0.12794,0.14627,0.14239,0.14869,0.13757,0.14834
22,0.49818,0.49818,0.49818,0.49818,0.49818,0.51367,0.52203,0.46475,0.48201,0.49469,0.47721,0.51668,0.50305,0.51743,0.49078,0.48026,0.50159,0.46341,0.51903,0.52081,0.50228,0.54224,0.5,0.49165,0.49865,0.52032,0.51421,0.52839,0.49974,0.45098,0.50557,0.49771,0.50347,0.51199,0.49408,0.55685,0.49271,0.53858
23,0.55954,0.55954,0.55954,0.55954,0.55954,0.27643,0.48962,0.49325,0.55749,0.28916,0.48064,0.40418,0.41862,0.56492,0.53571,0.50681,0.42579,0.57243,0.35758,0.45119,0.44392,0.47181,0.51106,0.49302,0.54374,0.40461,0.39062,0.39681,0.40566,0.51143,0.52035,0.39236,0.54254,0.45149,0.33305,0.42338,0.4203,0.57847
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.25416,1.25416,1.25416,1.25416,1.25416,1.24438,1.55536,1.01626,1.1616,1.72366,1.11789,1.84412,1.39103,1.70299,1.26998,1.26669,1.31101,0.90148,1.70679,1.68141,1.60458,1.59422,1.22243,1.2653,1.81666,1.54636,1.32605,1.57928,1.31632,0.92669,1.75028,1.242,1.50718,1.58997,1.22791,1.79756,1.2212,1.77381
26,2.35536,2.35536,2.35536,2.35536,2.35536,2.48406,2.54193,2.26573,2.35356,2.41812,2.32914,2.53003,2.46064,2.53384,2.3982,2.34467,2.45322,2.25892,2.54198,2.55103,2.45671,2.66008,2.44515,2.40264,2.43828,2.54852,2.51744,2.58961,2.44381,2.19566,2.47346,2.43346,2.46281,2.50615,2.41499,2.73445,2.40804,2.64148
27,0.50258,0.50258,0.50258,0.50258,0.50258,0.62162,0.51656,0.6721,0.57215,0.4734,0.68017,0.50785,0.71552,0.72266,0.50053,0.63392,0.47779,0.51707,0.69785,0.38998,0.68159,0.63005,0.60697,0.51831,0.53364,0.63792,0.59653,0.64295,0.50007,0.65393,0.38056,0.53563,0.56355,0.73292,0.46145,0.73382,0.5725,0.54211
28,3.12691,3.12691,3.12691,3.12691,3.12691,2.72247,3.05488,3.19617,3.14826,3.10866,3.15936,2.9058,3.15443,3.28631,3.33018,3.3807,3.14781,3.27293,3.08529,3.30408,3.17268,3.01407,3.14855,3.08756,3.36566,3.05329,2.94897,3.28666,3.33921,3.37,3.41696,3.14144,3.07542,3.46091,3.06837,3.2549,3.33005,3.31024
29,3.36421,3.36421,3.36421,3.36421,3.36421,3.26594,3.87677,2.67102,2.91489,4.11867,2.82127,4.37667,3.40626,4.07441,3.14702,3.13995,3.23488,2.35777,4.08253,4.02818,3.86362,3.84144,3.04517,3.13699,4.31786,3.73893,3.26711,3.80945,3.24625,2.41178,4.17569,3.08708,3.65503,3.83234,3.05691,4.27694,3.04253,4.22608
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
