ID,Name,Team,Pos,Price,TP
6,Havertz,ARS,MID,7.5,2
8,G.Jesus,ARS,FWD,8,0
12,Martinelli,ARS,MID,8,5
14,Ødegaard,ARS,MID,8.5,2
19,Saka,ARS,MID,8.5,10
28,Turner,NFO,GK,4,2
29,White,ARS,DEF,5.5,1
36,Cash,AVL,DEF,4.5,-1
43,Douglas Luiz,AVL,MID,5.5,1
48,Konsa,AVL,DEF,4.5,0
49,Martinez,AVL,GK,5,1
52,Nakamba,LUT,MID,4.5,2
60,Watkins,AVL,FWD,8,5
82,Semenyo,BOU,FWD,4.5,4
85,Solanke,BOU,FWD,6.5,7
108,Mbeumo,BRE,MID,7,7
112,Pinnock,BRE,DEF,4.5,1
119,Wissa,BRE,FWD,6,9
131,Estupiñan,BHA,DEF,5.5,7
132,Ferguson,BHA,FWD,6,5
134,Gross,BHA,MID,6.5,2
140,March,BHA,MID,6.5,9
143,Mitoma,BHA,MID,6.5,5
157,Al-Dakhil,BUR,DEF,4,1
168,Foster,BUR,FWD,5,2
195,Chilwell,CHE,DEF,6,7
196,Chukwuemeka,CHE,MID,4.5,1
199,Enzo,CHE,MID,5,1
203,Gusto,CHE,DEF,4,1
206,James,CHE,DEF,5.5,2
207,Lukaku,CHE,FWD,7,0
211,N.Jackson,CHE,FWD,7,1
216,Sterling,CHE,MID,7,2
223,C.Doucouré,CRY,MID,5,3
225,Edouard,CRY,FWD,5.5,7
226,Eze,CRY,MID,6.5,3
228,Guéhi,CRY,DEF,4.5,6
231,Lerma,CRY,MID,5,3
240,Schlupp,CRY,MID,5,3
249,A.Doucoure,EVE,MID,5.5,2
261,Onana,EVE,MID,5,2
263,Pickford,EVE,GK,4.5,2
275,Leno,FUL,GK,4.5,12
276,Lukić,FUL,MID,4.5,3
290,Alexander-Arnold,LIV,DEF,8,1
291,A.Becker,LIV,GK,5.5,3
293,Darwin,LIV,FWD,7.5,1
294,Diogo J.,LIV,MID,8,1
297,Gakpo,LIV,FWD,7.5,2
303,Luis Díaz,LIV,MID,7.5,8
304,Mac Allister,LIV,MID,6,1
307,Robertson,LIV,DEF,6.5,2
308,Salah,LIV,MID,12.5,5
309,Szoboszlai,LIV,MID,7,2
313,Virgil,LIV,DEF,6,2
314,Adebayo,LUT,FWD,5,2
315,Andersen,LUT,DEF,4,0
316,Bell,LUT,DEF,4,0
318,Burke,LUT,DEF,4,0
326,Morris,LUT,FWD,5.5,8
328,Ogbene,LUT,FWD,5,1
340,Woodrow,LUT,FWD,4.5,1
342,Aké,MCI,DEF,5,7
343,J.Alvarez,MCI,FWD,6.5,5
349,De Bruyne,MCI,MID,10,1
350,Rúben,MCI,DEF,5.5,0
353,Foden,MCI,MID,7.5,3
354,Grealish,MCI,MID,7.5,0
355,Haaland,MCI,FWD,14,13
365,Rodrigo,MCI,MID,5.5,13
368,Stones,MCI,DEF,5.5,0
369,Walker,MCI,DEF,5,6
372,Antony,MUN,MID,7,3
373,B.Fernandes,MUN,MID,8.5,3
376,Casemiro,MUN,MID,5.5,3
396,Rashford,MUN,MID,9,3
403,Anderson,NEW,MID,4.5,1
407,Burn,NEW,DEF,4.5,2
415,Isak,NEW,FWD,7.5,13
416,Joelinton,NEW,MID,6,2
424,Pope,NEW,GK,5.5,3
427,Schär,NEW,DEF,5,2
430,Trippier,NEW,DEF,6.5,2
433,Wilson,NEW,FWD,8,5
437,Awoniyi,NFO,FWD,6.5,7
447,Gibbs-White,NFO,MID,6,2
490,Osula,SHU,FWD,4.5,1
504,Maddison,TOT,MID,8,9
506,Pedro Porro,TOT,DEF,5,0
513,Sarr,TOT,MID,4.5,1
516,Son,TOT,MID,9,2
523,Antonio,WHU,FWD,6,1
524,Areola,WHU,GK,4,3
526,Bowen,WHU,MID,7,9
539,L.Paquetá,WHU,MID,6,1
567,Neto,WOL,MID,5.5,1
569,José Sá,WOL,GK,5,2
590,Cunha,WOL,FWD,5.5,2
599,Diaby,AVL,MID,6.5,7
611,Disasi,CHE,DEF,5,11
617,Højlund,MUN,FWD,7,0
664,Ward-Prowse,WHU,MID,6,
