Name,Name_New
Gabriel,Gabriel dos Santos Magalhães
G.Jesus,Gabriel Fernando de Jesus
Martinelli,Gabriel Martinelli Silva
Alex Moreno,Alexandre Moreno Lopera
Douglas Luiz,Douglas Luiz Soares de Paulo
Duran,Jhon Durán
Konsa,Ezri Konsa Ngoyo
Martinez,Emiliano Martínez Romero
J.Ramsey,Jacob Ramsey
Estupiñan,Pervis Estupiñán
Gross,Pascal Groß
João Pedro,João Pedro Junqueira de Jesus
Sanchez,Robert Sánchez
Enzo,Enzo Fernández
Lukaku,Romelu Lukaku Bolingoli
N.Jackson,Nicolas Jackson
T.Silva,Thiago Emiliano da Silva
C.Doucouré,Cheick Doucouré
Lerma,Jefferson Lerma Solís
A.Doucoure,Abdoulaye Doucouré
Muniz,Rodrigo Muniz Carvalho
A.Becker,Alisson Ramses Becker
Darwin,Darwin Núñez Ribeiro
Diogo J.,Diogo Teixeira da Silva
Luis Díaz,Luis Díaz
Mac Allister,Alexis Mac Allister
Virgil,Virgil van Dijk
J.Alvarez,Julián Álvarez
De Bruyne,Kevin De Bruyne
Rúben,Rúben Gato Alves Dias
Ederson M.,Ederson Santana de Moraes
Rodrigo,Rodrigo Hernandez
Antony,Antony Matheus dos Santos
B.Fernandes,Bruno Borges Fernandes
Casemiro,Carlos Henrique Casimiro
Pellistri,Facundo Pellistri Rebollo
Almirón,Miguel Almirón Rejala
Bruno G.,Bruno Guimarães Rodriguez Moura
Joelinton,Joelinton Cássio Apolinário de Lira
Pedro Porro,Pedro Porro
Richarlison,Richarlison de Andrade
Son,Son Heung-min
L.Paquetá,Lucas Tolentino Coelho de Lima
José Sá,José Malheiro de Sá
Boubacar Traore,Boubacar Traoré
Danjuma,Arnaut Danjuma Groeneveld
Beto,Norberto Bercique Gomes Betuncal
Altay,Altay Bayindir
Ansu Fati,Anssumane Fati Vieira
