Name,2_with_prob,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,3.41168,3.41168,3.41168,3.41168,3.60282,3.71534,3.30976,3.44493,3.54011,3.40892,3.70508,3.60278,3.7107,3.51073,3.43182,3.59185,3.30541,3.7227,3.73604,3.597,3.8968,3.57995,3.51728,3.56982,3.73234,3.68652,3.79292,3.57797,3.21214,3.62168,3.56271,3.60598,3.66988,3.53549,4.00644,3.52524,3.86939
G.Jesus,3.59928,3.59928,3.59928,3.59928,3.33834,3.59375,3.28016,3.30528,3.48227,3.22196,3.68114,3.31826,3.78892,3.26854,3.65637,3.81838,3.28629,3.77747,4.07106,3.58298,3.72907,3.81491,3.52932,3.67461,3.81511,3.8288,3.42957,3.43665,3.17072,3.70657,3.44066,3.71802,3.46903,3.34402,3.79533,3.18012,3.83714
Martinelli,4.24355,4.24355,4.24355,4.24355,4.46752,4.58571,4.03667,4.23277,4.35737,4.18563,4.57333,4.43941,4.5807,4.3189,4.2156,4.42511,4.05011,4.59641,4.61387,4.43184,4.82433,4.40953,4.32748,4.39626,4.60902,4.54905,4.68833,4.40694,3.92801,4.46416,4.38696,4.4436,4.52726,4.35132,4.96786,4.33791,4.78845
Ødegaard,4.91312,4.91312,4.91312,4.91312,5.13025,5.22446,4.63482,4.85758,5.0015,4.80313,5.25098,5.09628,5.25948,4.95708,4.83774,5.07975,4.64658,5.27763,5.2978,5.08754,5.5409,5.06176,4.96699,5.04644,5.2922,5.22292,5.38381,5.05877,4.50554,5.12486,5.03569,5.10112,5.19775,4.99452,5.70671,4.97903,5.49946
Saka,5.60437,5.60437,5.60437,5.60437,5.64477,5.61182,4.75801,4.93436,5.08818,4.87618,5.35478,5.18946,5.36387,5.0407,4.91317,5.1718,4.70888,5.38326,5.40482,5.18012,5.66462,5.15257,5.05129,5.13619,5.39883,5.3248,5.49674,5.14937,4.55816,5.22,5.12471,5.19463,5.2979,5.08071,5.84181,5.06416,5.62033
Turner,3.12691,3.12691,3.12691,3.12691,2.72247,3.05488,3.19617,3.14826,3.10866,3.15936,2.9058,3.15443,3.28631,3.33018,3.3807,3.14781,3.27293,3.08529,3.30408,3.17268,3.01407,3.14855,3.08756,3.36566,3.05329,2.94897,3.28666,3.33921,3.37,3.41696,3.14144,3.07542,3.46091,3.06837,3.2549,3.33005,3.31024
White,3.36421,3.36421,3.36421,3.36421,3.26594,3.87677,2.67102,2.91489,4.11867,2.82127,4.37667,3.40626,4.07441,3.14702,3.13995,3.23488,2.35777,4.08253,4.02818,3.86362,3.84144,3.04517,3.13699,4.31786,3.73893,3.26711,3.80945,3.24625,2.41178,4.17569,3.08708,3.65503,3.83234,3.05691,4.27694,3.04253,4.22608
Cash,3.8232,3.8232,3.8232,3.8232,2.77009,3.04064,3.57171,3.87578,3.97031,3.63111,3.71498,2.83495,3.65111,2.42716,3.38124,3.18948,3.91245,2.82035,4.17427,3.24152,3.52708,3.04826,3.23946,3.82061,4.17948,2.92639,3.0648,2.91622,3.86753,2.18026,3.59864,2.6653,4.07306,3.02709,2.86556,2.82303,3.57609
Douglas Luiz,3.64878,3.64878,3.64878,3.64878,3.4998,3.64044,3.76221,3.84086,3.74034,4.01409,3.97574,3.65457,3.86325,3.43561,3.72531,3.72153,3.65917,3.64438,3.82332,3.68523,3.85044,3.80486,3.91917,3.85413,4.05432,3.62994,3.80084,3.63646,3.82892,3.33283,3.91072,3.48376,4.12319,3.69685,3.68167,3.69882,3.65719
Konsa,3.26636,3.26636,3.26636,3.26636,2.56657,2.92076,3.48186,3.71728,3.79684,3.51139,3.58197,2.84141,3.52822,2.49824,3.30112,3.13975,3.74814,2.82912,3.96847,3.18354,3.42385,3.02091,3.18181,3.67086,3.97286,2.91836,3.03483,2.9098,3.71034,2.29047,3.48407,2.69864,3.8833,3.0031,2.86717,2.83138,3.46509
