Name,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,2.53917333333333,2.53917333333333,2.53917333333333,2.63474333333333,2.69100333333333,2.48821333333333,2.55579833333333,2.60338833333333,2.53779333333333,2.68587333333333,2.63472333333333,2.68868333333333,2.58869833333333,2.54924333333333,2.62925833333333,2.48603833333333,2.69468333333333,2.70135333333333,2.63183333333333,2.78173333333333,2.62330833333333,2.59197333333333,2.61824333333333,2.69950333333333,2.67659333333333,2.72979333333333,2.62231833333333,2.43940333333333,2.64417333333333,2.61468833333333,2.63632333333333,2.66827333333333,2.60107833333333,2.83655333333333,2.59595333333333,2.76802833333333
G.Jesus,1.96630666666667,1.96630666666667,1.96630666666667,1.83583666666667,1.96354166666667,1.80674666666667,1.81930666666667,1.90780166666667,1.77764666666667,2.00723666666667,1.82579666666667,2.06112666666667,1.80093666666667,1.99485166666667,2.07585666666667,1.80981166666667,2.05540166666667,2.20219666666667,1.95815666666667,2.03120166666667,2.07412166666667,1.93132666666667,2.00397166666667,2.07422166666667,2.08106666666667,1.88145166666667,1.88499166666667,1.75202666666667,2.01995166666667,1.88699666666667,2.02567666666667,1.90118166666667,1.83867666666667,2.06433166666667,1.75672666666667,2.08523666666667
Martinelli,3.78844166666667,3.78844166666667,3.78844166666667,3.90042666666667,3.95952166666667,3.68500166666667,3.78305166666667,3.84535166666667,3.75948166666667,3.95333166666667,3.88637166666667,3.95701666666667,3.82611666666667,3.77446666666667,3.87922166666667,3.69172166666667,3.96487166666667,3.97360166666667,3.88258666666667,4.07883166666667,3.87143166666667,3.83040666666667,3.86479666666667,3.97117666666667,3.94119166666667,4.01083166666667,3.87013666666667,3.63067166666667,3.89874666666667,3.86014666666667,3.88846666666667,3.93029666666667,3.84232666666667,4.15059666666667,3.83562166666667,4.06089166666667
Ødegaard,4.95656,4.95656,4.95656,5.065125,5.11223,4.81741,4.92879,5.00075,4.901565,5.12549,5.04814,5.12974,4.97854,4.91887,5.039875,4.82329,5.138815,5.1489,5.04377,5.27045,5.03088,4.983495,5.02322,5.1461,5.11146,5.191905,5.029385,4.75277,5.06243,5.017845,5.05056,5.098875,4.99726,5.353355,4.989515,5.24973
Saka,6.302185,6.302185,6.302185,6.322385,6.30591,5.879005,5.96718,6.04409,5.93809,6.17739,6.09473,6.181935,6.02035,5.956585,6.0859,5.85444,6.19163,6.20241,6.09006,6.33231,6.076285,6.025645,6.068095,6.199415,6.1624,6.24837,6.074685,5.77908,6.11,6.062355,6.097315,6.14895,6.040355,6.420905,6.03208,6.310165
Turner,2.73012166666667,2.73012166666667,2.73012166666667,2.52790166666667,2.69410666666667,2.76475166666667,2.74079666666667,2.72099666666667,2.74634666666667,2.61956666666667,2.74388166666667,2.80982166666667,2.83175666666667,2.85701666666667,2.74057166666667,2.80313166666667,2.70931166666667,2.81870666666667,2.75300666666667,2.67370166666667,2.74094166666667,2.71044666666667,2.84949666666667,2.69331166666667,2.64115166666667,2.80999666666667,2.83627166666667,2.85166666666667,2.87514666666667,2.73738666666667,2.70437666666667,2.89712166666667,2.70085166666667,2.79411666666667,2.83169166666667,2.82178666666667
White,3.182105,3.182105,3.182105,3.13297,3.438385,2.83551,2.957445,3.559335,2.910635,3.688335,3.20313,3.537205,3.07351,3.069975,3.11744,2.678885,3.541265,3.51409,3.43181,3.42072,3.022585,3.068495,3.65893,3.369465,3.133555,3.404725,3.123125,2.70589,3.587845,3.04354,3.327515,3.41617,3.028455,3.63847,3.021265,3.61304
Cash,5.57826666666667,5.57826666666667,5.57826666666667,5.05171166666667,5.18698666666667,5.45252166666667,5.60455666666667,5.65182166666667,5.48222166666667,5.52415666666667,5.08414166666667,5.49222166666667,4.88024666666667,5.35728666666667,5.26140666666667,5.62289166666667,5.07684166666667,5.75380166666667,5.28742666666667,5.43020666666667,5.19079666666667,5.28639666666667,5.57697166666667,5.75640666666667,5.12986166666667,5.19906666666667,5.12477666666667,5.60043166666667,4.75679666666667,5.46598666666667,4.99931666666667,5.70319666666667,5.18021166666667,5.09944666666667,5.07818166666667,5.45471166666667
Douglas Luiz,3.49105666666667,3.49105666666667,3.49105666666667,3.41656666666667,3.48688666666667,3.54777166666667,3.58709666666667,3.53683666666667,3.67371166666667,3.65453666666667,3.49395166666667,3.59829166666667,3.38447166666667,3.52932166666667,3.52743166666667,3.49625166666667,3.48885666666667,3.57832666666667,3.50928166666667,3.59188666666667,3.56909666666667,3.62625166666667,3.59373166666667,3.69382666666667,3.48163666666667,3.56708666666667,3.48489666666667,3.58112666666667,3.33308166666667,3.62202666666667,3.40854666666667,3.72826166666667,3.51509166666667,3.50750166666667,3.51607666666667,3.49526166666667
Konsa,2.96651333333333,2.96651333333333,2.96651333333333,2.61661833333333,2.79371333333333,3.07426333333333,3.19197333333333,3.23175333333333,3.08902833333333,3.12431833333333,2.75403833333333,3.09744333333333,2.58245333333333,2.98389333333333,2.90320833333333,3.20740333333333,2.74789333333333,3.31756833333333,2.92510333333333,3.04525833333333,2.84378833333333,2.92423833333333,3.16876333333333,3.31976333333333,2.79251333333333,2.85074833333333,2.78823333333333,3.18850333333333,2.47856833333333,3.07536833333333,2.68265333333333,3.27498333333333,2.83488333333333,2.76691833333333,2.74902333333333,3.06587833333333
