Name,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,2.53917333333333,2.53917333333333,2.63474333333333,2.69100333333333,2.48821333333333,2.55579833333333,2.60338833333333,2.53779333333333,2.68587333333333,2.63472333333333,2.68868333333333,2.58869833333333,2.54924333333333,2.62925833333333,2.48603833333333,2.69468333333333,2.70135333333333,2.63183333333333,2.78173333333333,2.62330833333333,2.59197333333333,2.61824333333333,2.69950333333333,2.67659333333333,2.72979333333333,2.62231833333333,2.43940333333333,2.64417333333333,2.61468833333333,2.63632333333333,2.66827333333333,2.60107833333333,2.83655333333333,2.59595333333333,2.76802833333333
G.Jesus,2.96630666666667,2.96630666666667,2.83583666666667,2.96354166666667,2.80674666666667,2.81930666666667,2.90780166666667,2.77764666666667,3.00723666666667,2.82579666666667,3.06112666666667,2.80093666666667,2.99485166666667,3.07585666666667,2.80981166666667,3.05540166666667,3.20219666666667,2.95815666666667,3.03120166666667,3.07412166666667,2.93132666666667,3.00397166666667,3.07422166666667,3.08106666666667,2.88145166666667,2.88499166666667,2.75202666666667,3.01995166666667,2.88699666666667,3.02567666666667,2.90118166666667,2.83867666666667,3.06433166666667,2.75672666666667,3.08523666666667
Martinelli,3.78844166666667,3.78844166666667,3.90042666666667,3.95952166666667,3.68500166666667,3.78305166666667,3.84535166666667,3.75948166666667,3.95333166666667,3.88637166666667,3.95701666666667,3.82611666666667,3.77446666666667,3.87922166666667,3.69172166666667,3.96487166666667,3.97360166666667,3.88258666666667,4.07883166666667,3.87143166666667,3.83040666666667,3.86479666666667,3.97117666666667,3.94119166666667,4.01083166666667,3.87013666666667,3.63067166666667,3.89874666666667,3.86014666666667,3.88846666666667,3.93029666666667,3.84232666666667,4.15059666666667,3.83562166666667,4.06089166666667
Ødegaard,5.78989333333333,5.78989333333333,5.89845833333333,5.94556333333333,5.65074333333333,5.76212333333333,5.83408333333333,5.73489833333333,5.95882333333333,5.88147333333333,5.96307333333333,5.81187333333333,5.75220333333333,5.87320833333333,5.65662333333333,5.97214833333333,5.98223333333333,5.87710333333333,6.10378333333333,5.86421333333333,5.81682833333333,5.85655333333333,5.97943333333333,5.94479333333333,6.02523833333333,5.86271833333333,5.58610333333333,5.89576333333333,5.85117833333333,5.88389333333333,5.93220833333333,5.83059333333333,6.18668833333333,5.82284833333333,6.08306333333333
Saka,5.302185,5.302185,5.322385,5.30591,4.879005,4.96718,5.04409,4.93809,5.17739,5.09473,5.181935,5.02035,4.956585,5.0859,4.85444,5.19163,5.20241,5.09006,5.33231,5.076285,5.025645,5.068095,5.199415,5.1624,5.24837,5.074685,4.77908,5.11,5.062355,5.097315,5.14895,5.040355,5.420905,5.03208,5.310165
Turner,3.23012166666667,3.23012166666667,3.02790166666667,3.19410666666667,3.26475166666667,3.24079666666667,3.22099666666667,3.24634666666667,3.11956666666667,3.24388166666667,3.30982166666667,3.33175666666667,3.35701666666667,3.24057166666667,3.30313166666667,3.20931166666667,3.31870666666667,3.25300666666667,3.17370166666667,3.24094166666667,3.21044666666667,3.34949666666667,3.19331166666667,3.14115166666667,3.30999666666667,3.33627166666667,3.35166666666667,3.37514666666667,3.23738666666667,3.20437666666667,3.39712166666667,3.20085166666667,3.29411666666667,3.33169166666667,3.32178666666667
White,3.34877166666667,3.34877166666667,3.29963666666667,3.60505166666667,3.00217666666667,3.12411166666667,3.72600166666667,3.07730166666667,3.85500166666667,3.36979666666667,3.70387166666667,3.24017666666667,3.23664166666667,3.28410666666667,2.84555166666667,3.70793166666667,3.68075666666667,3.59847666666667,3.58738666666667,3.18925166666667,3.23516166666667,3.82559666666667,3.53613166666667,3.30022166666667,3.57139166666667,3.28979166666667,2.87255666666667,3.75451166666667,3.21020666666667,3.49418166666667,3.58283666666667,3.19512166666667,3.80513666666667,3.18793166666667,3.77970666666667
Cash,5.57826666666667,5.57826666666667,5.05171166666667,5.18698666666667,5.45252166666667,5.60455666666667,5.65182166666667,5.48222166666667,5.52415666666667,5.08414166666667,5.49222166666667,4.88024666666667,5.35728666666667,5.26140666666667,5.62289166666667,5.07684166666667,5.75380166666667,5.28742666666667,5.43020666666667,5.19079666666667,5.28639666666667,5.57697166666667,5.75640666666667,5.12986166666667,5.19906666666667,5.12477666666667,5.60043166666667,4.75679666666667,5.46598666666667,4.99931666666667,5.70319666666667,5.18021166666667,5.09944666666667,5.07818166666667,5.45471166666667
Douglas Luiz,3.65772333333333,3.65772333333333,3.58323333333333,3.65355333333333,3.71443833333333,3.75376333333333,3.70350333333333,3.84037833333333,3.82120333333333,3.66061833333333,3.76495833333333,3.55113833333333,3.69598833333333,3.69409833333333,3.66291833333333,3.65552333333333,3.74499333333333,3.67594833333333,3.75855333333333,3.73576333333333,3.79291833333333,3.76039833333333,3.86049333333333,3.64830333333333,3.73375333333333,3.65156333333333,3.74779333333333,3.49974833333333,3.78869333333333,3.57521333333333,3.89492833333333,3.68175833333333,3.67416833333333,3.68274333333333,3.66192833333333
Konsa,3.13318,3.13318,2.783285,2.96038,3.24093,3.35864,3.39842,3.255695,3.290985,2.920705,3.26411,2.74912,3.15056,3.069875,3.37407,2.91456,3.484235,3.09177,3.211925,3.010455,3.090905,3.33543,3.48643,2.95918,3.017415,2.9549,3.35517,2.645235,3.242035,2.84932,3.44165,3.00155,2.933585,2.91569,3.232545
Martinez,3.39866,3.39866,3.20155,3.26275,3.405405,3.39592,3.258855,3.407745,3.42827,3.254555,3.25904,3.20849,3.174255,3.274255,3.25654,3.23907,3.2454,3.45598,3.220585,3.326095,3.3571,3.373555,3.48739,3.37925,3.258575,3.105995,3.212935,2.990405,3.19998,3.217885,3.337465,3.37347,3.346115,3.13321,3.28906
Nakamba,1.75362,1.75362,1.75468,3.48302,1.76224,1.8378,1.67387,1.7261,1.70681,1.73211,1.73414,1.73548,1.63284,1.78436,1.77982,1.76367,1.7254,1.72252,1.73029,1.6658,1.71205,1.80417,1.6293,1.73527,1.71135,1.85205,1.71042,1.6499,1.87646,1.59642,1.80118,1.7578,1.82814,1.704,1.82421
Watkins,4.20244,4.20244,4.07124,4.375855,4.187055,4.368205,4.328625,4.34118,4.685435,4.12624,4.30318,4.096415,4.14962,4.11186,4.203415,4.034745,4.31443,4.36968,4.389215,4.396855,4.3525,4.53209,4.72475,4.084105,4.19231,4.22968,4.37459,4.0295,4.173995,4.13735,4.37817,4.177945,4.180185,4.3891,4.2149
Semenyo,2.328935,2.328935,2.332415,2.31991,2.39675,2.39918,2.3784,2.279995,2.40423,2.406865,2.38551,2.344025,2.281805,2.3833,2.38764,2.506535,2.313405,2.40419,2.34913,2.52011,2.453575,2.289875,2.303105,2.37714,2.34006,2.337505,2.408475,2.359475,2.298855,2.39155,2.373625,2.404855,2.31724,2.3299,2.305935
Solanke,4.21544333333333,4.21544333333333,4.21209333333333,4.20104833333333,4.38789833333333,4.39063833333333,4.34171833333333,4.11001333333333,4.40253333333333,4.40874333333333,4.35845833333333,4.26078333333333,4.11428333333333,4.35326333333333,4.36347333333333,4.64341833333333,4.18868333333333,4.40243833333333,4.27279833333333,4.67538333333333,4.51871833333333,4.13327833333333,4.16442833333333,4.33875333333333,4.25144333333333,4.24543333333333,4.41252833333333,4.29715833333333,4.15441833333333,4.37267333333333,4.33047333333333,4.40401333333333,4.19771833333333,4.22751833333333,4.17109833333333
