Name,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,2.37250666666667,2.46807666666667,2.52433666666667,2.32154666666667,2.38913166666667,2.43672166666667,2.37112666666667,2.51920666666667,2.46805666666667,2.52201666666667,2.42203166666667,2.38257666666667,2.46259166666667,2.31937166666667,2.52801666666667,2.53468666666667,2.46516666666667,2.61506666666667,2.45664166666667,2.42530666666667,2.45157666666667,2.53283666666667,2.50992666666667,2.56312666666667,2.45565166666667,2.27273666666667,2.47750666666667,2.44802166666667,2.46965666666667,2.50160666666667,2.43441166666667,2.66988666666667,2.42928666666667,2.60136166666667
G.Jesus,3.13297333333333,3.00250333333333,3.13020833333333,2.97341333333333,2.98597333333333,3.07446833333333,2.94431333333333,3.17390333333333,2.99246333333333,3.22779333333333,2.96760333333333,3.16151833333333,3.24252333333333,2.97647833333333,3.22206833333333,3.36886333333333,3.12482333333333,3.19786833333333,3.24078833333333,3.09799333333333,3.17063833333333,3.24088833333333,3.24773333333333,3.04811833333333,3.05165833333333,2.91869333333333,3.18661833333333,3.05366333333333,3.19234333333333,3.06784833333333,3.00534333333333,3.23099833333333,2.92339333333333,3.25190333333333
Martinelli,3.45510833333333,3.56709333333333,3.62618833333333,3.35166833333333,3.44971833333333,3.51201833333333,3.42614833333333,3.61999833333333,3.55303833333333,3.62368333333333,3.49278333333333,3.44113333333333,3.54588833333333,3.35838833333333,3.63153833333333,3.64026833333333,3.54925333333333,3.74549833333333,3.53809833333333,3.49707333333333,3.53146333333333,3.63784333333333,3.60785833333333,3.67749833333333,3.53680333333333,3.29733833333333,3.56541333333333,3.52681333333333,3.55513333333333,3.59696333333333,3.50899333333333,3.81726333333333,3.50228833333333,3.72755833333333
Ødegaard,4.45656,4.565125,4.61223,4.31741,4.42879,4.50075,4.401565,4.62549,4.54814,4.62974,4.47854,4.41887,4.539875,4.32329,4.638815,4.6489,4.54377,4.77045,4.53088,4.483495,4.52322,4.6461,4.61146,4.691905,4.529385,4.25277,4.56243,4.517845,4.55056,4.598875,4.49726,4.853355,4.489515,4.74973
Saka,5.802185,5.822385,5.80591,5.379005,5.46718,5.54409,5.43809,5.67739,5.59473,5.681935,5.52035,5.456585,5.5859,5.35444,5.69163,5.70241,5.59006,5.83231,5.576285,5.525645,5.568095,5.699415,5.6624,5.74837,5.574685,5.27908,5.61,5.562355,5.597315,5.64895,5.540355,5.920905,5.53208,5.810165
Turner,3.23012166666667,3.02790166666667,3.19410666666667,3.26475166666667,3.24079666666667,3.22099666666667,3.24634666666667,3.11956666666667,3.24388166666667,3.30982166666667,3.33175666666667,3.35701666666667,3.24057166666667,3.30313166666667,3.20931166666667,3.31870666666667,3.25300666666667,3.17370166666667,3.24094166666667,3.21044666666667,3.34949666666667,3.19331166666667,3.14115166666667,3.30999666666667,3.33627166666667,3.35166666666667,3.37514666666667,3.23738666666667,3.20437666666667,3.39712166666667,3.20085166666667,3.29411666666667,3.33169166666667,3.32178666666667
White,3.34877166666667,3.29963666666667,3.60505166666667,3.00217666666667,3.12411166666667,3.72600166666667,3.07730166666667,3.85500166666667,3.36979666666667,3.70387166666667,3.24017666666667,3.23664166666667,3.28410666666667,2.84555166666667,3.70793166666667,3.68075666666667,3.59847666666667,3.58738666666667,3.18925166666667,3.23516166666667,3.82559666666667,3.53613166666667,3.30022166666667,3.57139166666667,3.28979166666667,2.87255666666667,3.75451166666667,3.21020666666667,3.49418166666667,3.58283666666667,3.19512166666667,3.80513666666667,3.18793166666667,3.77970666666667
Cash,4.74493333333333,4.21837833333333,4.35365333333333,4.61918833333333,4.77122333333333,4.81848833333333,4.64888833333333,4.69082333333333,4.25080833333333,4.65888833333333,4.04691333333333,4.52395333333333,4.42807333333333,4.78955833333333,4.24350833333333,4.92046833333333,4.45409333333333,4.59687333333333,4.35746333333333,4.45306333333333,4.74363833333333,4.92307333333333,4.29652833333333,4.36573333333333,4.29144333333333,4.76709833333333,3.92346333333333,4.63265333333333,4.16598333333333,4.86986333333333,4.34687833333333,4.26611333333333,4.24484833333333,4.62137833333333
Douglas Luiz,4.15772333333333,4.08323333333333,4.15355333333333,4.21443833333333,4.25376333333333,4.20350333333333,4.34037833333333,4.32120333333333,4.16061833333333,4.26495833333333,4.05113833333333,4.19598833333333,4.19409833333333,4.16291833333333,4.15552333333333,4.24499333333333,4.17594833333333,4.25855333333333,4.23576333333333,4.29291833333333,4.26039833333333,4.36049333333333,4.14830333333333,4.23375333333333,4.15156333333333,4.24779333333333,3.99974833333333,4.28869333333333,4.07521333333333,4.39492833333333,4.18175833333333,4.17416833333333,4.18274333333333,4.16192833333333
Konsa,2.46651333333333,2.11661833333333,2.29371333333333,2.57426333333333,2.69197333333333,2.73175333333333,2.58902833333333,2.62431833333333,2.25403833333333,2.59744333333333,2.08245333333333,2.48389333333333,2.40320833333333,2.70740333333333,2.24789333333333,2.81756833333333,2.42510333333333,2.54525833333333,2.34378833333333,2.42423833333333,2.66876333333333,2.81976333333333,2.29251333333333,2.35074833333333,2.28823333333333,2.68850333333333,1.97856833333333,2.57536833333333,2.18265333333333,2.77498333333333,2.33488333333333,2.26691833333333,2.24902333333333,2.56587833333333
Martinez,2.39866,2.20155,2.26275,2.405405,2.39592,2.258855,2.407745,2.42827,2.254555,2.25904,2.20849,2.174255,2.274255,2.25654,2.23907,2.2454,2.45598,2.220585,2.326095,2.3571,2.373555,2.48739,2.37925,2.258575,2.105995,2.212935,1.990405,2.19998,2.217885,2.337465,2.37347,2.346115,2.13321,2.28906
Nakamba,1.54347666666667,1.54400666666667,2.40817666666667,1.54778666666667,1.58556666666667,1.50360166666667,1.52971666666667,1.52007166666667,1.53272166666667,1.53373666666667,1.53440666666667,1.48308666666667,1.55884666666667,1.55657666666667,1.54850166666667,1.52936666666667,1.52792666666667,1.53181166666667,1.49956666666667,1.52269166666667,1.56875166666667,1.48131666666667,1.53430166666667,1.52234166666667,1.59269166666667,1.52187666666667,1.49161666666667,1.60489666666667,1.46487666666667,1.56725666666667,1.54556666666667,1.58073666666667,1.51866666666667,1.57877166666667
Watkins,4.20244,4.07124,4.375855,4.187055,4.368205,4.328625,4.34118,4.685435,4.12624,4.30318,4.096415,4.14962,4.11186,4.203415,4.034745,4.31443,4.36968,4.389215,4.396855,4.3525,4.53209,4.72475,4.084105,4.19231,4.22968,4.37459,4.0295,4.173995,4.13735,4.37817,4.177945,4.180185,4.3891,4.2149
Semenyo,1.328935,1.332415,1.31991,1.39675,1.39918,1.3784,1.279995,1.40423,1.406865,1.38551,1.344025,1.281805,1.3833,1.38764,1.506535,1.313405,1.40419,1.34913,1.52011,1.453575,1.289875,1.303105,1.37714,1.34006,1.337505,1.408475,1.359475,1.298855,1.39155,1.373625,1.404855,1.31724,1.3299,1.305935
Solanke,3.71544333333333,3.71209333333333,3.70104833333333,3.88789833333333,3.89063833333333,3.84171833333333,3.61001333333333,3.90253333333333,3.90874333333333,3.85845833333333,3.76078333333333,3.61428333333333,3.85326333333333,3.86347333333333,4.14341833333333,3.68868333333333,3.90243833333333,3.77279833333333,4.17538333333333,4.01871833333333,3.63327833333333,3.66442833333333,3.83875333333333,3.75144333333333,3.74543333333333,3.91252833333333,3.79715833333333,3.65441833333333,3.87267333333333,3.83047333333333,3.90401333333333,3.69771833333333,3.72751833333333,3.67109833333333
Mbeumo,4.96595,5.36521,5.355945,5.007715,5.181975,4.921,5.199655,4.781035,5.083155,5.09831,5.03916,5.16336,5.08256,2,5.187615,5.014485,5.414865,5.011845,4.791095,5.146665,5.05645,4.99358,5.05447,4.83963,5.046285,5.27861,5.06839,4.907845,5.01648,4.987005,5.042755,5.33564,5.22223,5.20932
Pinnock,2.16786833333333,2.82738833333333,2.66938333333333,2.32569333333333,2.93756833333333,2.27875833333333,2.80500333333333,2.02767333333333,2.58537833333333,2.84699333333333,2.35636333333333,2.43749833333333,2.61233333333333,0.833333333333333,2.80134333333333,2.67191333333333,2.93988333333333,2.34276833333333,2.16166333333333,2.69224833333333,2.33747333333333,2.37885833333333,2.42809833333333,2.26742333333333,2.91106833333333,2.52241333333333,2.42297833333333,2.38019333333333,2.82129333333333,2.38337833333333,2.52332833333333,2.73359333333333,2.70522833333333,2.65014833333333
Wissa,2.54617833333333,2.79792333333333,2.72858333333333,2.49487333333333,2.71878333333333,2.55239333333333,2.76142833333333,2.54398833333333,2.58808833333333,2.73004333333333,2.61232833333333,2.78414833333333,2.73511333333333,0.833333333333333,2.76649333333333,2.63985833333333,3.04417333333333,2.56954833333333,2.54589333333333,2.62488833333333,2.77799833333333,2.65157833333333,2.61054833333333,2.57835833333333,2.71589333333333,2.74897333333333,2.77953333333333,2.70781833333333,2.63074833333333,2.53613333333333,2.76260333333333,3.01299833333333,2.70986333333333,2.77809333333333
Estupiñan,1.7744,2.293575,1.850125,1.84133,1.586265,2.22088,2.025105,2.30254,2.1862,1.797385,2.172775,2.410805,1.786835,2.163455,1.95203,1.89059,2.283965,1.894795,2.19551,1.856985,1.94519,2.34761,2.264565,2.41296,1.68836,1.5636,2.003585,2.08288,2.386125,1.93644,2.194475,2.10798,1.7581,2.02425
Ferguson,4.47317833333333,5.07210833333333,5.13580833333333,5.24329833333333,4.92335333333333,5.46491333333333,5.20421833333333,5.06694333333333,5.18068833333333,4.98536833333333,5.04265333333333,5.15859833333333,5.01239833333333,5.07642833333333,5.05777333333333,5.08862833333333,5.20827333333333,4.96843833333333,5.11335833333333,5.00322833333333,5.22665333333333,5.23049333333333,5.33830833333333,5.49736833333333,4.97860333333333,4.97661833333333,4.99135333333333,5.02253333333333,5.15558833333333,5.04591833333333,5.14931333333333,5.17559833333333,4.94697333333333,5.19003333333333
Gross,5.81916833333333,6.13636333333333,5.82430333333333,5.93671833333333,5.73196833333333,6.12634333333333,5.94814333333333,5.93215333333333,6.14986833333333,5.87405833333333,6.08646333333333,6.03284833333333,5.82454833333333,5.93093833333333,6.01905833333333,5.91821833333333,6.03627833333333,5.91421833333333,5.96687833333333,5.92933333333333,6.02152333333333,6.13314333333333,6.05174833333333,6.17454833333333,5.79501833333333,5.78889833333333,5.97040833333333,5.97272333333333,5.95028833333333,5.95526833333333,6.05734333333333,5.97235833333333,5.85208333333333,6.09164333333333
March,2.89630833333333,3.20208333333333,2.84515333333333,2.97199833333333,2.75825333333333,3.16622333333333,2.98187833333333,2.96533833333333,3.19055833333333,2.90523833333333,3.12496333333333,3.06950333333333,2.85402333333333,2.96408333333333,3.05523333333333,2.95092333333333,3.07305333333333,2.94678833333333,3.00125833333333,2.96241833333333,3.05778833333333,3.17325333333333,3.08905333333333,3.21608833333333,2.82347333333333,2.81714333333333,3.00490833333333,3.00730333333333,2.98409833333333,2.98924833333333,3.09484333333333,3.00692833333333,2.88250833333333,3.13032833333333
Mitoma,3.43946333333333,3.73172833333333,3.35438333333333,3.46871333333333,3.24595333333333,3.65371333333333,3.46946333333333,3.45293333333333,3.67803833333333,3.39286833333333,3.61247833333333,3.55704333333333,3.34167833333333,3.45167833333333,3.54278333333333,3.43852333333333,3.56059333333333,3.43438833333333,3.48883333333333,3.45001333333333,3.54533333333333,3.66074333333333,3.57658333333333,3.70355333333333,3.31114333333333,3.30481333333333,3.49248333333333,3.49487833333333,3.47168333333333,3.47682833333333,3.58236833333333,3.49450333333333,3.37014333333333,3.61783333333333
Al-Dakhil,1.41839,1.355035,2.060385,1.350035,1.38491,1.484045,1.484585,1.27234,1.532295,1.54017,1.47777,1.315345,1.56358,1.52045,1.30621,1.32687,1.5526,1.16817,1.49776,1.1564,1.42609,1.467935,1.574665,1.326225,1.47278,1.27782,1.530525,1.396085,1.34756,1.35458,1.305635,1.45741,1.30877,1.59752
Foster,3.651465,3.654995,4.562125,3.571595,3.54304,3.62571,3.60689,3.554055,3.653805,3.5826,3.579405,3.572565,3.668195,3.72462,3.662835,3.624595,3.636705,3.50745,3.79088,3.53533,3.559355,3.587565,3.658115,3.59395,3.56989,3.53991,3.656565,3.654445,3.66367,3.666185,3.50972,3.662885,3.549255,3.807865
