Name,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,2.30141,2.35767,2.15488,2.222465,2.270055,2.20446,2.35254,2.30139,2.35535,2.255365,2.21591,2.295925,2.152705,2.36135,2.36802,2.2985,2.4484,2.289975,2.25864,2.28491,2.36617,2.34326,2.39646,2.288985,2.10607,2.31084,2.281355,2.30299,2.33494,2.267745,2.50322,2.26262,2.434695
G.Jesus,3.16917,3.296875,3.14008,3.15264,3.241135,3.11098,3.34057,3.15913,3.39446,3.13427,3.328185,3.40919,3.143145,3.388735,3.53553,3.29149,3.364535,3.407455,3.26466,3.337305,3.407555,3.4144,3.214785,3.218325,3.08536,3.353285,3.22033,3.35901,3.234515,3.17201,3.397665,3.09006,3.41857
Martinelli,3.23376,3.292855,3.018335,3.116385,3.178685,3.092815,3.286665,3.219705,3.29035,3.15945,3.1078,3.212555,3.025055,3.298205,3.306935,3.21592,3.412165,3.204765,3.16374,3.19813,3.30451,3.274525,3.344165,3.20347,2.964005,3.23208,3.19348,3.2218,3.26363,3.17566,3.48393,3.168955,3.394225
Ødegaard,4.39845833333333,4.44556333333333,4.15074333333333,4.26212333333333,4.33408333333333,4.23489833333333,4.45882333333333,4.38147333333333,4.46307333333333,4.31187333333333,4.25220333333333,4.37320833333333,4.15662333333333,4.47214833333333,4.48223333333333,4.37710333333333,4.60378333333333,4.36421333333333,4.31682833333333,4.35655333333333,4.47943333333333,4.44479333333333,4.52523833333333,4.36271833333333,4.08610333333333,4.39576333333333,4.35117833333333,4.38389333333333,4.43220833333333,4.33059333333333,4.68668833333333,4.32284833333333,4.58306333333333
Saka,6.65571833333333,6.63924333333333,6.21233833333333,6.30051333333333,6.37742333333333,6.27142333333333,6.51072333333333,6.42806333333333,6.51526833333333,6.35368333333333,6.28991833333333,6.41923333333333,6.18777333333333,6.52496333333333,6.53574333333333,6.42339333333333,6.66564333333333,6.40961833333333,6.35897833333333,6.40142833333333,6.53274833333333,6.49573333333333,6.58170333333333,6.40801833333333,6.11241333333333,6.44333333333333,6.39568833333333,6.43064833333333,6.48228333333333,6.37368833333333,6.75423833333333,6.36541333333333,6.64349833333333
Turner,2.69456833333333,2.86077333333333,2.93141833333333,2.90746333333333,2.88766333333333,2.91301333333333,2.78623333333333,2.91054833333333,2.97648833333333,2.99842333333333,3.02368333333333,2.90723833333333,2.96979833333333,2.87597833333333,2.98537333333333,2.91967333333333,2.84036833333333,2.90760833333333,2.87711333333333,3.01616333333333,2.85997833333333,2.80781833333333,2.97666333333333,3.00293833333333,3.01833333333333,3.04181333333333,2.90405333333333,2.87104333333333,3.06378833333333,2.86751833333333,2.96078333333333,2.99835833333333,2.98845333333333
White,3.79963666666667,4.10505166666667,3.50217666666667,3.62411166666667,4.22600166666667,3.57730166666667,4.35500166666667,3.86979666666667,4.20387166666667,3.74017666666667,3.73664166666667,3.78410666666667,3.34555166666667,4.20793166666667,4.18075666666667,4.09847666666667,4.08738666666667,3.68925166666667,3.73516166666667,4.32559666666667,4.03613166666667,3.80022166666667,4.07139166666667,3.78979166666667,3.37255666666667,4.25451166666667,3.71020666666667,3.99418166666667,4.08283666666667,3.69512166666667,4.30513666666667,3.68793166666667,4.27970666666667
Cash,2.385045,2.52032,2.785855,2.93789,2.985155,2.815555,2.85749,2.417475,2.825555,2.21358,2.69062,2.59474,2.956225,2.410175,3.087135,2.62076,2.76354,2.52413,2.61973,2.910305,3.08974,2.463195,2.5324,2.45811,2.933765,2.09013,2.79932,2.33265,3.03653,2.513545,2.43278,2.411515,2.788045
Douglas Luiz,4.08323333333333,4.15355333333333,4.21443833333333,4.25376333333333,4.20350333333333,4.34037833333333,4.32120333333333,4.16061833333333,4.26495833333333,4.05113833333333,4.19598833333333,4.19409833333333,4.16291833333333,4.15552333333333,4.24499333333333,4.17594833333333,4.25855333333333,4.23576333333333,4.29291833333333,4.26039833333333,4.36049333333333,4.14830333333333,4.23375333333333,4.15156333333333,4.24779333333333,3.99974833333333,4.28869333333333,4.07521333333333,4.39492833333333,4.18175833333333,4.17416833333333,4.18274333333333,4.16192833333333
Konsa,2.94995166666667,3.12704666666667,3.40759666666667,3.52530666666667,3.56508666666667,3.42236166666667,3.45765166666667,3.08737166666667,3.43077666666667,2.91578666666667,3.31722666666667,3.23654166666667,3.54073666666667,3.08122666666667,3.65090166666667,3.25843666666667,3.37859166666667,3.17712166666667,3.25757166666667,3.50209666666667,3.65309666666667,3.12584666666667,3.18408166666667,3.12156666666667,3.52183666666667,2.81190166666667,3.40870166666667,3.01598666666667,3.60831666666667,3.16821666666667,3.10025166666667,3.08235666666667,3.39921166666667
Martinez,3.20155,3.26275,3.405405,3.39592,3.258855,3.407745,3.42827,3.254555,3.25904,3.20849,3.174255,3.274255,3.25654,3.23907,3.2454,3.45598,3.220585,3.326095,3.3571,3.373555,3.48739,3.37925,3.258575,3.105995,3.212935,2.990405,3.19998,3.217885,3.337465,3.37347,3.346115,3.13321,3.28906
Nakamba,1.71067333333333,2.57484333333333,1.71445333333333,1.75223333333333,1.67026833333333,1.69638333333333,1.68673833333333,1.69938833333333,1.70040333333333,1.70107333333333,1.64975333333333,1.72551333333333,1.72324333333333,1.71516833333333,1.69603333333333,1.69459333333333,1.69847833333333,1.66623333333333,1.68935833333333,1.73541833333333,1.64798333333333,1.70096833333333,1.68900833333333,1.75935833333333,1.68854333333333,1.65828333333333,1.77156333333333,1.63154333333333,1.73392333333333,1.71223333333333,1.74740333333333,1.68533333333333,1.74543833333333
Watkins,4.73790666666667,5.04252166666667,4.85372166666667,5.03487166666667,4.99529166666667,5.00784666666667,5.35210166666667,4.79290666666667,4.96984666666667,4.76308166666667,4.81628666666667,4.77852666666667,4.87008166666667,4.70141166666667,4.98109666666667,5.03634666666667,5.05588166666667,5.06352166666667,5.01916666666667,5.19875666666667,5.39141666666667,4.75077166666667,4.85897666666667,4.89634666666667,5.04125666666667,4.69616666666667,4.84066166666667,4.80401666666667,5.04483666666667,4.84461166666667,4.84685166666667,5.05576666666667,4.88156666666667
