Name,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,3.19100333333333,2.98821333333333,3.05579833333333,3.10338833333333,3.03779333333333,3.18587333333333,3.13472333333333,3.18868333333333,3.08869833333333,3.04924333333333,3.12925833333333,2.98603833333333,3.19468333333333,3.20135333333333,3.13183333333333,3.28173333333333,3.12330833333333,3.09197333333333,3.11824333333333,3.19950333333333,3.17659333333333,3.22979333333333,3.12231833333333,2.93940333333333,3.14417333333333,3.11468833333333,3.13632333333333,3.16827333333333,3.10107833333333,3.33655333333333,3.09595333333333,3.26802833333333
G.Jesus,3.13020833333333,2.97341333333333,2.98597333333333,3.07446833333333,2.94431333333333,3.17390333333333,2.99246333333333,3.22779333333333,2.96760333333333,3.16151833333333,3.24252333333333,2.97647833333333,3.22206833333333,3.36886333333333,3.12482333333333,3.19786833333333,3.24078833333333,3.09799333333333,3.17063833333333,3.24088833333333,3.24773333333333,3.04811833333333,3.05165833333333,2.91869333333333,3.18661833333333,3.05366333333333,3.19234333333333,3.06784833333333,3.00534333333333,3.23099833333333,2.92339333333333,3.25190333333333
Martinelli,2.45952166666667,2.18500166666667,2.28305166666667,2.34535166666667,2.25948166666667,2.45333166666667,2.38637166666667,2.45701666666667,2.32611666666667,2.27446666666667,2.37922166666667,2.19172166666667,2.46487166666667,2.47360166666667,2.38258666666667,2.57883166666667,2.37143166666667,2.33040666666667,2.36479666666667,2.47117666666667,2.44119166666667,2.51083166666667,2.37013666666667,2.13067166666667,2.39874666666667,2.36014666666667,2.38846666666667,2.43029666666667,2.34232666666667,2.65059666666667,2.33562166666667,2.56089166666667
Ødegaard,6.11223,5.81741,5.92879,6.00075,5.901565,6.12549,6.04814,6.12974,5.97854,5.91887,6.039875,5.82329,6.138815,6.1489,6.04377,6.27045,6.03088,5.983495,6.02322,6.1461,6.11146,6.191905,6.029385,5.75277,6.06243,6.017845,6.05056,6.098875,5.99726,6.353355,5.989515,6.24973
Saka,7.47257666666667,7.04567166666667,7.13384666666667,7.21075666666667,7.10475666666667,7.34405666666667,7.26139666666667,7.34860166666667,7.18701666666667,7.12325166666667,7.25256666666667,7.02110666666667,7.35829666666667,7.36907666666667,7.25672666666667,7.49897666666667,7.24295166666667,7.19231166666667,7.23476166666667,7.36608166666667,7.32906666666667,7.41503666666667,7.24135166666667,6.94574666666667,7.27666666666667,7.22902166666667,7.26398166666667,7.31561666666667,7.20702166666667,7.58757166666667,7.19874666666667,7.47683166666667
Turner,2.52744,2.598085,2.57413,2.55433,2.57968,2.4529,2.577215,2.643155,2.66509,2.69035,2.573905,2.636465,2.542645,2.65204,2.58634,2.507035,2.574275,2.54378,2.68283,2.526645,2.474485,2.64333,2.669605,2.685,2.70848,2.57072,2.53771,2.730455,2.534185,2.62745,2.665025,2.65512
White,6.10505166666667,5.50217666666667,5.62411166666667,6.22600166666667,5.57730166666667,6.35500166666667,5.86979666666667,6.20387166666667,5.74017666666667,5.73664166666667,5.78410666666667,5.34555166666667,6.20793166666667,6.18075666666667,6.09847666666667,6.08738666666667,5.68925166666667,5.73516166666667,6.32559666666667,6.03613166666667,5.80022166666667,6.07139166666667,5.78979166666667,5.37255666666667,6.25451166666667,5.71020666666667,5.99418166666667,6.08283666666667,5.69512166666667,6.30513666666667,5.68793166666667,6.27970666666667
Cash,3.68698666666667,3.95252166666667,4.10455666666667,4.15182166666667,3.98222166666667,4.02415666666667,3.58414166666667,3.99222166666667,3.38024666666667,3.85728666666667,3.76140666666667,4.12289166666667,3.57684166666667,4.25380166666667,3.78742666666667,3.93020666666667,3.69079666666667,3.78639666666667,4.07697166666667,4.25640666666667,3.62986166666667,3.69906666666667,3.62477666666667,4.10043166666667,3.25679666666667,3.96598666666667,3.49931666666667,4.20319666666667,3.68021166666667,3.59944666666667,3.57818166666667,3.95471166666667
Douglas Luiz,5.15355333333333,5.21443833333333,5.25376333333333,5.20350333333333,5.34037833333333,5.32120333333333,5.16061833333333,5.26495833333333,5.05113833333333,5.19598833333333,5.19409833333333,5.16291833333333,5.15552333333333,5.24499333333333,5.17594833333333,5.25855333333333,5.23576333333333,5.29291833333333,5.26039833333333,5.36049333333333,5.14830333333333,5.23375333333333,5.15156333333333,5.24779333333333,4.99974833333333,5.28869333333333,5.07521333333333,5.39492833333333,5.18175833333333,5.17416833333333,5.18274333333333,5.16192833333333
Konsa,3.12704666666667,3.40759666666667,3.52530666666667,3.56508666666667,3.42236166666667,3.45765166666667,3.08737166666667,3.43077666666667,2.91578666666667,3.31722666666667,3.23654166666667,3.54073666666667,3.08122666666667,3.65090166666667,3.25843666666667,3.37859166666667,3.17712166666667,3.25757166666667,3.50209666666667,3.65309666666667,3.12584666666667,3.18408166666667,3.12156666666667,3.52183666666667,2.81190166666667,3.40870166666667,3.01598666666667,3.60831666666667,3.16821666666667,3.10025166666667,3.08235666666667,3.39921166666667
