Name,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Havertz,3.48821333333333,3.55579833333333,3.60338833333333,3.53779333333333,3.68587333333333,3.63472333333333,3.68868333333333,3.58869833333333,3.54924333333333,3.62925833333333,3.48603833333333,3.69468333333333,3.70135333333333,3.63183333333333,3.78173333333333,3.62330833333333,3.59197333333333,3.61824333333333,3.69950333333333,3.67659333333333,3.72979333333333,3.62231833333333,3.43940333333333,3.64417333333333,3.61468833333333,3.63632333333333,3.66827333333333,3.60107833333333,3.83655333333333,3.59595333333333,3.76802833333333
G.Jesus,2.97341333333333,2.98597333333333,3.07446833333333,2.94431333333333,3.17390333333333,2.99246333333333,3.22779333333333,2.96760333333333,3.16151833333333,3.24252333333333,2.97647833333333,3.22206833333333,3.36886333333333,3.12482333333333,3.19786833333333,3.24078833333333,3.09799333333333,3.17063833333333,3.24088833333333,3.24773333333333,3.04811833333333,3.05165833333333,2.91869333333333,3.18661833333333,3.05366333333333,3.19234333333333,3.06784833333333,3.00534333333333,3.23099833333333,2.92339333333333,3.25190333333333
Martinelli,3.018335,3.116385,3.178685,3.092815,3.286665,3.219705,3.29035,3.15945,3.1078,3.212555,3.025055,3.298205,3.306935,3.21592,3.412165,3.204765,3.16374,3.19813,3.30451,3.274525,3.344165,3.20347,2.964005,3.23208,3.19348,3.2218,3.26363,3.17566,3.48393,3.168955,3.394225
Ødegaard,5.81741,5.92879,6.00075,5.901565,6.12549,6.04814,6.12974,5.97854,5.91887,6.039875,5.82329,6.138815,6.1489,6.04377,6.27045,6.03088,5.983495,6.02322,6.1461,6.11146,6.191905,6.029385,5.75277,6.06243,6.017845,6.05056,6.098875,5.99726,6.353355,5.989515,6.24973
Saka,6.04567166666667,6.13384666666667,6.21075666666667,6.10475666666667,6.34405666666667,6.26139666666667,6.34860166666667,6.18701666666667,6.12325166666667,6.25256666666667,6.02110666666667,6.35829666666667,6.36907666666667,6.25672666666667,6.49897666666667,6.24295166666667,6.19231166666667,6.23476166666667,6.36608166666667,6.32906666666667,6.41503666666667,6.24135166666667,5.94574666666667,6.27666666666667,6.22902166666667,6.26398166666667,6.31561666666667,6.20702166666667,6.58757166666667,6.19874666666667,6.47683166666667
Turner,3.26475166666667,3.24079666666667,3.22099666666667,3.24634666666667,3.11956666666667,3.24388166666667,3.30982166666667,3.33175666666667,3.35701666666667,3.24057166666667,3.30313166666667,3.20931166666667,3.31870666666667,3.25300666666667,3.17370166666667,3.24094166666667,3.21044666666667,3.34949666666667,3.19331166666667,3.14115166666667,3.30999666666667,3.33627166666667,3.35166666666667,3.37514666666667,3.23738666666667,3.20437666666667,3.39712166666667,3.20085166666667,3.29411666666667,3.33169166666667,3.32178666666667
White,5.83551,5.957445,6.559335,5.910635,6.688335,6.20313,6.537205,6.07351,6.069975,6.11744,5.678885,6.541265,6.51409,6.43181,6.42072,6.022585,6.068495,6.65893,6.369465,6.133555,6.404725,6.123125,5.70589,6.587845,6.04354,6.327515,6.41617,6.028455,6.63847,6.021265,6.61304
Cash,4.11918833333333,4.27122333333333,4.31848833333333,4.14888833333333,4.19082333333333,3.75080833333333,4.15888833333333,3.54691333333333,4.02395333333333,3.92807333333333,4.28955833333333,3.74350833333333,4.42046833333333,3.95409333333333,4.09687333333333,3.85746333333333,3.95306333333333,4.24363833333333,4.42307333333333,3.79652833333333,3.86573333333333,3.79144333333333,4.26709833333333,3.42346333333333,4.13265333333333,3.66598333333333,4.36986333333333,3.84687833333333,3.76611333333333,3.74484833333333,4.12137833333333
Douglas Luiz,3.881105,3.92043,3.87017,4.007045,3.98787,3.827285,3.931625,3.717805,3.862655,3.860765,3.829585,3.82219,3.91166,3.842615,3.92522,3.90243,3.959585,3.927065,4.02716,3.81497,3.90042,3.81823,3.91446,3.666415,3.95536,3.74188,4.061595,3.848425,3.840835,3.84941,3.828595
Konsa,3.40759666666667,3.52530666666667,3.56508666666667,3.42236166666667,3.45765166666667,3.08737166666667,3.43077666666667,2.91578666666667,3.31722666666667,3.23654166666667,3.54073666666667,3.08122666666667,3.65090166666667,3.25843666666667,3.37859166666667,3.17712166666667,3.25757166666667,3.50209666666667,3.65309666666667,3.12584666666667,3.18408166666667,3.12156666666667,3.52183666666667,2.81190166666667,3.40870166666667,3.01598666666667,3.60831666666667,3.16821666666667,3.10025166666667,3.08235666666667,3.39921166666667
Martinez,3.73873833333333,3.72925333333333,3.59218833333333,3.74107833333333,3.76160333333333,3.58788833333333,3.59237333333333,3.54182333333333,3.50758833333333,3.60758833333333,3.58987333333333,3.57240333333333,3.57873333333333,3.78931333333333,3.55391833333333,3.65942833333333,3.69043333333333,3.70688833333333,3.82072333333333,3.71258333333333,3.59190833333333,3.43932833333333,3.54626833333333,3.32373833333333,3.53331333333333,3.55121833333333,3.67079833333333,3.70680333333333,3.67944833333333,3.46654333333333,3.62239333333333
Nakamba,1.79778666666667,1.83556666666667,1.75360166666667,1.77971666666667,1.77007166666667,1.78272166666667,1.78373666666667,1.78440666666667,1.73308666666667,1.80884666666667,1.80657666666667,1.79850166666667,1.77936666666667,1.77792666666667,1.78181166666667,1.74956666666667,1.77269166666667,1.81875166666667,1.73131666666667,1.78430166666667,1.77234166666667,1.84269166666667,1.77187666666667,1.74161666666667,1.85489666666667,1.71487666666667,1.81725666666667,1.79556666666667,1.83073666666667,1.76866666666667,1.82877166666667
Watkins,8.35372166666667,8.53487166666667,8.49529166666667,8.50784666666667,8.85210166666667,8.29290666666667,8.46984666666667,8.26308166666667,8.31628666666667,8.27852666666667,8.37008166666667,8.20141166666667,8.48109666666667,8.53634666666667,8.55588166666667,8.56352166666667,8.51916666666667,8.69875666666667,8.89141666666667,8.25077166666667,8.35897666666667,8.39634666666667,8.54125666666667,8.19616666666667,8.34066166666667,8.30401666666667,8.54483666666667,8.34461166666667,8.34685166666667,8.55576666666667,8.38156666666667
Semenyo,1.23008333333333,1.23251333333333,1.21173333333333,1.11332833333333,1.23756333333333,1.24019833333333,1.21884333333333,1.17735833333333,1.11513833333333,1.21663333333333,1.22097333333333,1.33986833333333,1.14673833333333,1.23752333333333,1.18246333333333,1.35344333333333,1.28690833333333,1.12320833333333,1.13643833333333,1.21047333333333,1.17339333333333,1.17083833333333,1.24180833333333,1.19280833333333,1.13218833333333,1.22488333333333,1.20695833333333,1.23818833333333,1.15057333333333,1.16323333333333,1.13926833333333
Solanke,3.554565,3.557305,3.508385,3.27668,3.5692,3.57541,3.525125,3.42745,3.28095,3.51993,3.53014,3.810085,3.35535,3.569105,3.439465,3.84205,3.685385,3.299945,3.331095,3.50542,3.41811,3.4121,3.579195,3.463825,3.321085,3.53934,3.49714,3.57068,3.364385,3.394185,3.337765
Mbeumo,3.84104833333333,4.01530833333333,3.75433333333333,4.03298833333333,3.61436833333333,3.91648833333333,3.93164333333333,3.87249333333333,3.99669333333333,3.91589333333333,0.833333333333333,4.02094833333333,3.84781833333333,4.24819833333333,3.84517833333333,3.62442833333333,3.97999833333333,3.88978333333333,3.82691333333333,3.88780333333333,3.67296333333333,3.87961833333333,4.11194333333333,3.90172333333333,3.74117833333333,3.84981333333333,3.82033833333333,3.87608833333333,4.16897333333333,4.05556333333333,4.04265333333333
