ID,Name,Team,Pos,Price,5_pts_no_prob,5_prob,5_with_prob,6_pts_no_prob,6_prob,6_with_prob,7_pts_no_prob,7_prob,7_with_prob,8_pts_no_prob,8_prob,8_with_prob,9_pts_no_prob,9_prob,9_with_prob,10_pts_no_prob,10_prob,10_with_prob,11_pts_no_prob,11_prob,11_with_prob,12_pts_no_prob,12_prob,12_with_prob,13_pts_no_prob,13_prob,13_with_prob,14_pts_no_prob,14_prob,14_with_prob,15_pts_no_prob,15_prob,15_with_prob,16_pts_no_prob,16_prob,16_with_prob,17_pts_no_prob,17_prob,17_with_prob,18_pts_no_prob,18_prob,18_with_prob,19_pts_no_prob,19_prob,19_with_prob,20_pts_no_prob,20_prob,20_with_prob,21_pts_no_prob,21_prob,21_with_prob,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
1,Balogun,ARS,FWD,4.4,1.57692,0,0.14529,1.46446,0,0.13493,1.53854,0,0.14176,1.4192,0,0.13076,1.42249,0,0.13107,1.48096,0,0.13645,1.39709,0,0.12873,1.54503,0,0.14236,1.41812,0,0.13066,1.57366,0,0.14499,1.42291,0,0.1311,1.53705,0,0.14162,1.58925,0,0.14643,1.42014,0,0.13085,1.58798,0,0.14631,1.67066,0,0.15393,1.51341,0,0.13944,1.56047,0,0.14378,1.58813,0,0.14633,1.49612,0,0.13785,1.57128,0,0.14478,1.55681,0,0.14344,1.5922,0,0.1467,1.46398,0,0.13489,1.46626,0,0.1351,1.37913,0,0.12707,1.55323,0,0.14311,1.44639,0,0.13327,1.53291,0,0.14124,1.47669,0,0.13606,1.43642,0,0.13235,1.57052,0,0.14471,1.38361,0,0.12748,1.60086,0,0.1475,0,0,0
2,Cédric,ARS,DEF,4,1.69618,0.07597,0.12886,1.60872,0.07597,0.12221,1.89887,0.07597,0.14426,1.29316,0.07597,0.09824,1.42364,0.07597,0.10815,2.0282,0.07597,0.15408,1.37663,0.07597,0.10458,2.15777,0.07597,0.16393,1.67042,0.07597,0.1269,2.00597,0.07597,0.15239,1.54022,0.07597,0.11701,1.53668,0.07597,0.11674,1.58435,0.07597,0.12036,1.14385,0.07597,0.0869,2.01005,0.07597,0.1527,1.98276,0.07597,0.15063,1.90011,0.07597,0.14435,1.88897,0.07597,0.1435,1.48907,0.07597,0.11312,1.53519,0.07597,0.11663,2.12824,0.07597,0.16168,1.83749,0.07597,0.13959,1.60053,0.07597,0.12159,1.87291,0.07597,0.14228,1.59006,0.07597,0.1208,1.17098,0.07597,0.08896,2.05684,0.07597,0.15626,1.51012,0.07597,0.11472,1.79536,0.07597,0.13639,1.8844,0.07597,0.14316,1.49497,0.07597,0.11357,2.10769,0.07597,0.16012,1.48775,0.07597,0.11302,2.08214,0.07597,0.15818,0,0,0
3,M.Elneny,ARS,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Fábio Vieira",ARS,MID,5.4,1.92156,0.59314,1.13975,2.00629,0.59314,1.19001,2.06658,0.59314,1.22577,1.90179,0.59314,1.12802,1.98293,0.59314,1.17615,2.02643,0.59314,1.20195,1.96647,0.59314,1.16639,2.10183,0.59314,1.24667,2.05507,0.59314,1.21894,2.1044,0.59314,1.2482,2.013,0.59314,1.19399,1.97693,0.59314,1.1726,2.05008,0.59314,1.21598,1.91916,0.59314,1.13833,2.10988,0.59314,1.25145,2.11598,0.59314,1.25507,2.05243,0.59314,1.21737,2.18945,0.59314,1.29865,2.04464,0.59314,1.21275,2.01599,0.59314,1.19576,2.04001,0.59314,1.21001,2.11428,0.59314,1.25406,2.09335,0.59314,1.24164,2.14197,0.59314,1.27049,2.04373,0.59314,1.21222,1.87653,0.59314,1.11304,2.06371,0.59314,1.22407,2.03676,0.59314,1.20808,2.05653,0.59314,1.21981,2.08574,0.59314,1.23713,2.02432,0.59314,1.2007,2.23956,0.59314,1.32837,2.01964,0.59314,1.19792,2.17692,0.59314,1.29122,0,0,0
5,Gabriel,ARS,DEF,4.8,3.38723,0.82812,2.80502,3.34957,0.82812,2.77383,4.04606,0.82812,3.35061,2.78944,0.82812,2.30998,3.09421,0.82812,2.56236,4.37643,0.82812,3.62419,2.99449,0.82812,2.47978,4.65124,0.82812,3.85176,3.6176,0.82812,2.99579,4.32928,0.82812,3.58514,3.34147,0.82812,2.76712,3.33394,0.82812,2.76089,3.43506,0.82812,2.84462,2.5008,0.82812,2.07095,4.33794,0.82812,3.59231,4.28004,0.82812,3.54437,4.10477,0.82812,3.39922,4.08113,0.82812,3.37965,3.23298,0.82812,2.67728,3.33079,0.82812,2.75828,4.5886,0.82812,3.79989,3.97195,0.82812,3.28923,3.46938,0.82812,2.87305,4.04706,0.82812,3.35143,3.44716,0.82812,2.85465,2.55833,0.82812,2.11859,4.43717,0.82812,3.67448,3.27762,0.82812,2.71425,3.88258,0.82812,3.21523,4.07145,0.82812,3.37163,3.24549,0.82812,2.68764,4.54501,0.82812,3.76379,3.23017,0.82812,2.67495,4.49084,0.82812,3.71893,0,0,0
6,Havertz,ARS,MID,7.3,3.66417,0.93109,3.41168,3.86946,0.93109,3.60282,3.99031,0.93109,3.71534,3.55471,0.93109,3.30976,3.69988,0.93109,3.44493,3.8021,0.93109,3.54011,3.66121,0.93109,3.40892,3.97928,0.93109,3.70508,3.86942,0.93109,3.60278,3.98532,0.93109,3.7107,3.77055,0.93109,3.51073,3.6858,0.93109,3.43182,3.85768,0.93109,3.59185,3.55003,0.93109,3.30541,3.99821,0.93109,3.7227,4.01254,0.93109,3.73604,3.86321,0.93109,3.597,4.1852,0.93109,3.8968,3.8449,0.93109,3.57995,3.77759,0.93109,3.51728,3.83401,0.93109,3.56982,4.00856,0.93109,3.73234,3.95936,0.93109,3.68652,4.07362,0.93109,3.79292,3.84277,0.93109,3.57797,3.44986,0.93109,3.21214,3.88971,0.93109,3.62168,3.82639,0.93109,3.56271,3.87285,0.93109,3.60598,3.94148,0.93109,3.66988,3.79714,0.93109,3.53549,4.30296,0.93109,4.00644,3.78614,0.93109,3.52524,4.15576,0.93109,3.86939,0,0,0
7,Holding,CRY,DEF,4.4,2.04961,0.12395,0.25405,2.52206,0.12395,0.31261,1.99091,0.12395,0.24678,2.79784,0.12395,0.3468,1.8576,0.12395,0.23025,2.13604,0.12395,0.26476,2.75931,0.12395,0.34202,2.70401,0.12395,0.33517,2.05387,0.12395,0.25458,2.04783,0.12395,0.25383,2.73466,0.12395,0.33896,1.9925,0.12395,0.24697,1.61088,0.12395,0.19967,2.10681,0.12395,0.26114,1.91401,0.12395,0.23724,2.45299,0.12395,0.30405,1.89885,0.12395,0.23537,2.6393,0.12395,0.32714,2.01775,0.12395,0.2501,2.11366,0.12395,0.26199,2.24096,0.12395,0.27777,2.79474,0.12395,0.34641,1.99958,0.12395,0.24785,2.67365,0.12395,0.3314,2.4105,0.12395,0.29878,2.47226,0.12395,0.30644,2.48414,0.12395,0.30791,1.75747,0.12395,0.21784,1.57834,0.12395,0.19564,2.61752,0.12395,0.32445,2.58477,0.12395,0.32039,2.23974,0.12395,0.27762,2.46678,0.12395,0.30576,2.35995,0.12395,0.29252,0,0,0
8,G.Jesus,ARS,FWD,7.9,3.83664,0.93813,3.59928,3.55849,0.93813,3.33834,3.83074,0.93813,3.59375,3.49647,0.93813,3.28016,3.52325,0.93813,3.30528,3.71191,0.93813,3.48227,3.43444,0.93813,3.22196,3.9239,0.93813,3.68114,3.53708,0.93813,3.31826,4.03878,0.93813,3.78892,3.48409,0.93813,3.26854,3.89749,0.93813,3.65637,4.07018,0.93813,3.81838,3.50301,0.93813,3.28629,4.02658,0.93813,3.77747,4.33953,0.93813,4.07106,3.81926,0.93813,3.58298,3.97498,0.93813,3.72907,4.06649,0.93813,3.81491,3.76207,0.93813,3.52932,3.91694,0.93813,3.67461,4.06671,0.93813,3.81511,4.08129,0.93813,3.8288,3.65574,0.93813,3.42957,3.66328,0.93813,3.43665,3.37981,0.93813,3.17072,3.95101,0.93813,3.70657,3.66756,0.93813,3.44066,3.96321,0.93813,3.71802,3.6978,0.93813,3.46903,3.56455,0.93813,3.34402,4.04562,0.93813,3.79533,3.38984,0.93813,3.18012,4.09018,0.93813,3.83714,0,0,0
9,Jorginho,ARS,MID,5.4,2.30655,0.84264,1.9436,2.48602,0.84264,2.09483,2.63348,0.84264,2.21908,2.45297,0.84264,2.06698,2.57174,0.84264,2.16706,2.62872,0.84264,2.21508,2.55019,0.84264,2.1489,2.72749,0.84264,2.2983,2.66624,0.84264,2.24669,2.73085,0.84264,2.30114,2.61113,0.84264,2.20025,2.56389,0.84264,2.16045,2.6597,0.84264,2.24118,2.48821,0.84264,2.09668,2.73804,0.84264,2.30719,2.74602,0.84264,2.31392,2.66278,0.84264,2.24378,2.84227,0.84264,2.39502,2.65258,0.84264,2.23518,2.61506,0.84264,2.20356,2.64651,0.84264,2.23006,2.7438,0.84264,2.31205,2.71638,0.84264,2.28894,2.78007,0.84264,2.34261,2.65139,0.84264,2.23418,2.43237,0.84264,2.04962,2.67756,0.84264,2.25623,2.64226,0.84264,2.22648,2.66816,0.84264,2.24831,2.70642,0.84264,2.28054,2.62596,0.84264,2.21275,2.90791,0.84264,2.45033,2.61982,0.84264,2.20758,2.82586,0.84264,2.38119,0,0,0
10,Kiwior,ARS,DEF,4.4,2.69925,0.58974,1.59185,2.58605,0.58974,1.5251,3.04707,0.58974,1.79698,2.10166,0.58974,1.23943,2.30007,0.58974,1.35645,3.21939,0.58974,1.8986,2.22858,0.58974,1.31428,3.41642,0.58974,2.0148,2.67533,0.58974,1.57775,3.18559,0.58974,1.87867,2.47735,0.58974,1.46099,2.47196,0.58974,1.45781,2.54445,0.58974,1.50057,1.87461,0.58974,1.10553,3.19179,0.58974,1.88233,3.15028,0.58974,1.85785,3.02461,0.58974,1.78374,3.00767,0.58974,1.77374,2.39957,0.58974,1.41512,2.4697,0.58974,1.45648,3.37151,0.58974,1.98831,2.92939,0.58974,1.72758,2.56906,0.58974,1.51508,2.98324,0.58974,1.75934,2.55313,0.58974,1.50568,1.91586,0.58974,1.12986,3.26294,0.58974,1.92428,2.43158,0.58974,1.434,2.86532,0.58974,1.68979,3.00073,0.58974,1.76965,2.40854,0.58974,1.42041,3.34026,0.58974,1.96988,2.39755,0.58974,1.41393,3.30142,0.58974,1.94698,0,0,0
