ID,Name,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18
1,Balogun,ARS,,,,,,,,,,,,,,,,,,
2,Cédric,ARS,,,,,,,,,,,,,,,,,,
3,M.Elneny,ARS,,1,1,1,1,1,,,,,,,,,,,,
4,Fábio Vieira,ARS,,,,,,,,,,,,,,,,,,
5,Gabriel,ARS,,,,,,,,,,,,,,,,,,
6,Havertz,ARS,,,,,,,,,,,,,,,,,,
7,Holding,CRY,,,,,,,,,,,,,,,,,,
8,G.Jesus,ARS,1,1,1,,,,,0.5,,,,,,,,,,
9,Jorginho,ARS,,,,,,,,,,,,,,,,,,
10,Kiwior,ARS,,,,,,,,,,,,,,,,,,
11,Marquinhos,ARS,,,,,,,,,,,,,,,,,,
12,Martinelli,ARS,,,,,,0.5,0.5,0.5,,,,,,,,,,
13,Nketiah,ARS,,,,,,,,,,,,,,,,,,
14,Ødegaard,ARS,,,,,,,,,,,,,,,,,,
15,Thomas,ARS,,,,,1,1,1,1,,,,,,,,,,
16,Pepe,ARS,,,,,,,,,,,,,,,,,,
17,Ramsdale,ARS,,,,,,,,,,,,,,,,,,
18,Rúnarsson,ARS,,,,,,,,,,,,,,,,,,
19,Saka,ARS,,,,,,,,0.5,0.5,,,,,,,,,
20,Saliba,ARS,,,,,,,,,0.5,,,,,,,,,
21,Sambi,LUT,,,,,,,,1,1,1,,,,,,,,
22,Smith Rowe,ARS,,,,,,,,,,,,,,,,,,
23,Tavares,NFO,,,,,,,0.5,0.5,1,1,,,,,,,,
24,Tierney,ARS,,,,,,,,,,,,,,,,,,
25,Tomiyasu,ARS,,,,,,,,,,,,,,,,,,
26,Trossard,ARS,,,,,,,0.5,,0.5,,,,,,,,,
27,Trusty,SHU,,,,,,,,,,,,,,,,,,
28,Turner,NFO,,,,,,,,,,,,,,,,,,
29,White,ARS,,,,,,,,,,,,,,,,,,
30,Xhaka,ARS,,,,,,,,,,,,,,,,,,
31,Zinchenko,ARS,,,,,,,,,,,,,,,,,,
32,Alex Moreno,AVL,1,1,1,1,1,,0.5,0.5,0.5,1,,,,,,,,
33,Archer,SHU,,,,,,,,,,,,,,,,,,
34,Bailey,AVL,,,,,,,,1,,,,,,,,,,
35,Buendia,AVL,,1,1,1,1,1,1,1,1,1,,,,,,,,
36,Cash,AVL,,,,,,,,,,,,,,,,,,
37,Chambers,AVL,,,,,,,,,,,,,,,,,,
38,Coutinho,AVL,,,1,1,1,,,,,,,,,,,,,
39,Davis,AVL,,,,,,,,,,,,,,,,,,
40,Dendoncker,AVL,,1,1,1,,,,,,,,,,,,,,
41,Diego Carlos,AVL,,,,,0.5,1,1,,,,,,,,,,,
42,Digne,AVL,,,,,,,,,,,,,,,,,,
43,Douglas Luiz,AVL,,,,,,,,,,,,,,,,,,
44,Duran,AVL,,1,,,,,,,,,,,,,,,,
45,Hause,AVL,,,,,,,,,,,,,,,,,,
46,Iroegbunam,AVL,,1,1,1,1,1,1,1,1,,,,,,,,,
47,Kamara,AVL,,,,,,,,0.5,,,,,,,,,,
48,Konsa,AVL,,,,,,,,,,,,,,,,,,
49,Martinez,AVL,,,,0.5,,,,,,,,,,,,,,
50,McGinn,AVL,,,,,,,,,,,,,,,,,,
51,Mings,AVL,,1,1,1,1,1,1,1,1,1,,,,,,,,
52,Nakamba,LUT,,,,,,,,,,,,,,,,,,
53,Olsen,AVL,,,,,,,,,,,,,,,,,,
54,Philogene,AVL,,,,,,,,,,,,,,,,,,
55,J.Ramsey,AVL,1,1,1,1,1,1,,,0.5,1,,,,,,,,
56,Sanson,AVL,,,,,,,,,,,,,,,,,,
57,Sinisalo,AVL,,,,,,,,,,,,,,,,,,
58,Tielemans,AVL,,,,,,,,,,,,,,,,,,
59,Bertrand Traoré,AVL,,1,,,,1,1,,,,,,,,,,,
60,Watkins,AVL,,,,,,,,,,,,,,,,,,
61,Wesley,AVL,,,,,,,,,,,,,,,,,,
62,Anthony,BOU,,,,,,,,,,,,,,,,,,
63,Billing,BOU,,,,,,,,,0.5,,,,,,,,,
64,Brooks,BOU,,,,,,,,,,,,,,,,,,
65,Christie,BOU,0.5,,,,,,,,,,,,,,,,,
66,L.Cook,BOU,,0.5,0.5,,,,,,,1,,,,,,,,
67,Siriki,BOU,,,,,,,,,,,,,,,,,,
68,Fredericks,BOU,1,1,1,1,1,1,1,1,1,1,,,,,,,,
69,Hill,BOU,,,,,,,,,,,,,,,,,,
70,Kelly,BOU,0.5,1,,,,,,1,1,,,,,,,,,
71,Kilkenny,BOU,,,,,,,,,,,,,,,,,,
72,Kluivert,BOU,,,,,,,,,,,,,,,,,,
73,Lowe,BOU,,,,,,,,,,,,,,,,,,
74,Marcondes,BOU,,,1,1,1,1,1,1,1,1,,,,,,,,
75,Mepham,BOU,,,,,,,,1,0.5,,,,,,,,,
76,Moore,BOU,,,,,,,,,,,,,,,,,,
77,Neto,BOU,,,,,,,,,,,,,,,,,,
78,O.Dango,BOU,,1,1,1,1,,,,,,,,,,,,,
79,Pearson,BOU,,,,,,,,,,,,,,,,,,
80,Randolph,BOU,,,,,,,,,,,,,,,,,,
81,Rothwell,BOU,,,,,,,,,,,,,,,,,,
82,Semenyo,BOU,1,,,,,,,,,,,,,,,,,
83,Senesi,BOU,,,,,,,,,,,,,,,,,,
84,Smith,BOU,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,
85,Solanke,BOU,,,,,,,,,,,,,,,,,,
86,Tavernier,BOU,1,1,1,1,,,,,,,,,,,,,,
87,Hamed Traorè,BOU,,,,,,,,,,,,,,,,,,
